ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23057387;Defeito;Em Refinamento;MP027 - [PIX] SIMPI - Mensageria e Integração;SIMPI - Solução de Diferenças não apresenta dados para execuções no final de semana;SIMPI;Meios de Pagamento;Sem Atuação da GEQTI;Q4;Leandro do Monte Nery;45769;;1
23057378;Defeito;Em Desenvolvimento;FG019 - Relacionamento, Conciliação e Conformidade;SIFAG - erro/falha em funcionalidade Manutenção de Relacionamento / Ativação Usuário x Produto x Revisor;SIFAG;Fundos de Governo;Sem Atuação da GEQTI;Q1;Samara Savia Queiros Teixeira;45769;;1
23057332;Defeito;Preparado;CI004 - Câmbio (SIMEX);DEFEITO - SIMEX - OP PARA - Erro estorno OP fora do horário;SIMEX;Câmbio, Investimentos e Mercado de Capitais;Sem Atuação da GEQTI;Q1;Daniele Machado do Nascimento;45769;;1
23057264;Defeito;Aceito;FG018 - FGTS Digital Contábil;Arquivo Movimento Financeiro MCF - Gerar arquivo vazio nos feriados;SIFGD;Fundos de Governo;Sem Atuação da GEQTI;Q1;Claudio Constantino Monteiro;45769;;1
23057243;Defeito;Em Desenvolvimento;FG018 - FGTS Digital Contábil;SIGIS - FUGPB4X1 - Ended NOT OK - 0608474 - INC000009505324 (23057118);SIFGD;Fundos de Governo;Sem Atuação da GEQTI;Q1;Claudio Constantino Monteiro;45769;;1
23057229;Defeito;Aceito;FG018 - FGTS Digital Contábil;SIGIS - FUGPB4X4 - Ended NOT OK - 0417281 - INC000009499213 (23049815), INC000009505280 (23057106);SIFGD;Fundos de Governo;Sem Atuação da GEQTI;Q1;Claudio Constantino Monteiro;45769;;1
23057222;Defeito;Em Refinamento;CR003 - SIAPI - CRÉDITO COMERCIAL - GEFAT;IB - SIAPI - GEBAN12 - ERRO NO TIPO DE CARENCIA DIFERENTE DO PARAMETRIZADO - OPERAÇÃO 691;SIAPI;Crédito Comercial e Agronegócio;Sem Atuação da GEQTI;Q3;Carolina de Jesus Cruvinel;45769;;1
23057200;Defeito;Implantado;ES012 - Contratação e controle;SIGCT - Erro equipe BRE202400189 e outras - Perda de conexão com o BD;SIGCT;Estruturantes de TI;Sem Atuação da GEQTI;Q1;Joao Maria Dantas da Costa;45769;45775;1
23057188;Defeito;Aceito;FG018 - FGTS Digital Contábil;UX520_SIFUG_FGD_NOTIFICAR_SERPRO_PIX_SEM_INDIV - INC000009494626 (23052370),  INC000009502038 (23053189), INC000009504218 (23055383);SIFGD;Fundos de Governo;Sem Atuação da GEQTI;Q1;Claudio Constantino Monteiro;45769;;1
23057126;Defeito;Em Desenvolvimento;AI001 - Canais Digitais;BEMPF15 - Defeito_Elegibilidade_FGTS_Inconsistência_Retorno_incorreto;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Alcemir Honorato dos Santos Junior;45769;;1
23057102;Defeito;Pronto;CD010 - Comunicação;SIGMS - 0999997402 - Erro na máscara de valor agendado débito automático de fatura;SIGMS;Clientes;Sem Atuação da GEQTI;Q1;Katiuscia Andrade de Sousa;45769;;1
