ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
22732979;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - versão 1.17.0 - Tela resgate de prêmio a frase ""Veja como retirar seu prêmio"" está incorreta";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;21/02/2025;1
22733235;Teste Funcional;Implantado;LT010 - Loterias Canais Eletrônicos (site);Erro no relatório de eventos contábeis - Data do movimento não informada no relatório em PDF;SILCE;Loterias e Canais Parceiros;Certificação;Q4;Luiz Guilherme de Barros Costa;13/02/2025;20/02/2025;1
22734058;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Tela de resultados a modalidade ""Timemania"" está com a cor trevo incorreta";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;20/02/2025;1
22734763;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android - versão 1.17.0 -  Rapidão a tela de seleção das modalidades o app está apresentando a modalidade de Loteca;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;18/02/2025;1
22734824;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - versão 1.17.0 - Rapidão a tela de ""Resumo"" modalidades selecionadas não estão mostrando a cor da modalidade";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;18/02/2025;1
22734864;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Rapidão a tela de seleção das modalidades a cor do trevo da modalidade timemania;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;19/02/2025;1
22734905;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Rapidão a tela ""Resumo"" modalidades a cor do trevo da modalidade timemania";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;13/02/2025;19/02/2025;1
22737622;Teste Funcional;Implantado;PS012 - SIPBS - Processos Online;[Aceite - Código - Criar parâmetro no online para selecionar opção de conta PJ - Incluir/Alterar Parâmetro Recursos Provenientes de Conta PJ] - Sistema sem ação ao tentar incluir/alterar CNPJ no programa;SIPBS;Programas Sociais;Certificação;Q3;Elma de Assis Pereira;14/02/2025;26/03/2025;1
22737708;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android - versão 1.17.0 - simula aposta as cores não estão no padrão da nova paleta de cores;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;21/02/2025;1
22737993;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - versão 1.17.0 - simula aposta  modalidade ""dia de sorte"" a cor de texto está incorreta";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;21/02/2025;1
22738037;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - versão 1.17.0 - simula aposta  modalidade ""dia de sorte"" na tela selecionar o mês de sorte a cor de fundo do botão selecionado está incorreta";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;21/02/2025;1
22738109;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android - versão 1.17.0 - Leitura de bilhete físico não está apresentando as informações concurso e situação valor do prêmio;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;18/02/2025;1
22738232;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Acessar via experimente o app está solicitando login;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;28/02/2025;1
22738298;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Conferir bilhete está apresentando a opção digitar manual e ao realizar a consulta via ""QR CODE"" está crashando o app";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;14/02/2025;28/02/2025;1
22748996;Teste Funcional;Implantado;BF005 - Nato-Digital e OpenHab;"Falhando o Caso de Teste ""CT114.001_UC_2165_Dados inconsistentes ao Consultar Documento da Proposta Online para Canal Parceiro""";SIOPI;Box Moradia PF;Certificação;Q3;Adriano dos Santos Lima;17/02/2025;18/02/2025;1
22749139;Teste Funcional;Implantado;BF005 - Nato-Digital e OpenHab;"Falhando o Caso de Teste ""CT112.001_UC_2165_Consulta documento informando Tipo de Associação igual a Pessoa na Proposta Online para Canal Parceiro com sucesso""";SIOPI;Box Moradia PF;Certificação;Q3;Adriano dos Santos Lima;17/02/2025;18/02/2025;1
